id,codename,description
1081,create_absence,""
1083,end_absence,""
1084,end_survey,""
1154,phonecall_group_ci,""
1155,phonecall_group_ct,""
1156,phonecall_group_dr,""
1157,phonecall_group_empty,""
1158,phonecall_group_le,""
1159,phonecall_group_ma,""
1160,phonecall_group_mi,""
1161,phonecall_group_mr,""
1162,phonecall_group_ps,""
1163,phonecall_group_tc,""
1168,phonecall_in_empty,""
1176,phonecall_out_ci,""
1177,phonecall_out_ct,""
1179,phonecall_out_empty,""
1181,phonecall_out_ma,""
1182,phonecall_out_mi,""
1183,phonecall_out_mr,""
1185,phonecall_out_tc,""
1186,phonecall_ticket_ce,""
1187,phonecall_ticket_ci,""
1188,phonecall_ticket_ct,""
1189,phonecall_ticket_dr,""
1190,phonecall_ticket_empty,""
1191,phonecall_ticket_le,""
1192,phonecall_ticket_ma,""
1193,phonecall_ticket_mi,""
1194,phonecall_ticket_mr,""
1195,phonecall_ticket_ps,""
1196,phonecall_ticket_tc,""
1198,r1_to_user,""
1199,r2_to_user,""
1200,r3_to_user,""
1201,r4_to_user,""
1203,start_absence,""
1204,start_survey,""
1205,survey_answer_question,L’utilisateur a répondu à une question d’enquête
1206,survey_available,""
1207,survey_end,L’utilisateur a terminé une enquête
1208,survey_exit_app,L’utilisateur a quitté l’application depuis une enquête
1209,survey_resume_app,L’utilisateur est revenu sur une enquête
1211,survey_start,L’utilisateur a démarré une enquête
1216,ticket_cancel__broken,""
1220,ticket_cancel__connectivity,""
1223,ticket_cancel__device_recover,""
1227,ticket_cancel__hardware,""
1230,ticket_cancel__leave,""
1233,ticket_cancel__other,""
1242,ticket_close__accessory,""
1243,ticket_close__application,""
1244,ticket_close__broken,""
1245,ticket_close__charger,""
1246,ticket_close__conn_3g,""
1247,ticket_close__conn_wifi,""
1248,ticket_close__connectivity,""
1249,ticket_close__credentials,""
1250,ticket_close__dead,""
1251,ticket_close__device_recover,""
1252,ticket_close__exclusion,""
1253,ticket_close__exemption,""
1254,ticket_close__femto,""
1255,ticket_close__hardware,""
1256,ticket_close__integ_pan,""
1257,ticket_close__join,""
1258,ticket_close__leave,""
1259,ticket_close__lost_stolen,""
1260,ticket_close__mdm,""
1261,ticket_close__other,""
1262,ticket_close__panelist_id,""
1263,ticket_close__panelist_reint,""
1264,ticket_close__sav,""
1265,ticket_close__software,""
1266,ticket_close__sui,""
1267,ticket_close__surveys,""
1268,ticket_close__usage,""
1270,ticket_open__accessory,""
1271,ticket_open__application,""
1272,ticket_open__broken,""
1273,ticket_open__charger,""
1274,ticket_open__conn_3g,""
1275,ticket_open__conn_wifi,""
1276,ticket_open__connectivity,""
1277,ticket_open__credentials,""
1278,ticket_open__dead,""
1279,ticket_open__device_recover,""
1280,ticket_open__exclusion,""
1281,ticket_open__exemption,""
1282,ticket_open__femto,""
1283,ticket_open__hardware,""
1284,ticket_open__integ_pan,""
1285,ticket_open__join,""
1286,ticket_open__leave,""
1287,ticket_open__lost_stolen,""
1288,ticket_open__mdm,""
1289,ticket_open__other,""
1290,ticket_open__panelist_id,""
1291,ticket_open__panelist_reint,""
1292,ticket_open__sav,""
1293,ticket_open__software,""
1294,ticket_open__sui,""
1295,ticket_open__surveys,""
1296,ticket_open__usage,""
1302,user_new_tablet,""
1304,user_no_tablet,""
